projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[]	2.158	12,903	12,903	34,440.037	34,440.037	null	(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
+cg	[-wb][-wb]	12.23	0	0	34,118.066	34,118.068	null	(b|d|z|g|G)(p|t|c|k|q|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(b|d|z|g|G)
-sonorant-continuant	[+plain][+sg]	12.844	0	0	36,492.398	36,492.402	null	(p|t|c|k|q)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(P|T|C|K|Q)
default	[-sonorant,+continuant,+palatal]	14.113	0	0	33,487.048	33,487.054	null	(S)
-sonorant-continuant	[+plain][+cg]	12.554	0	0	33,219.922	33,219.93	null	(p|t|c|k|q)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(b|d|z|g|G)
-sonorant-continuant	[+velar][+uvular]	10.609	0	0	33,157.916	33,157.925	null	(k|g|K)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(q|G|Q)
default	[-continuant][+wb]	14.479	0	0	31,709.401	31,709.413	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(<#|#>)
-sonorant-continuant	[+palatal][+cg]	11.244	0	0	31,675.185	31,675.198	null	(c|z|C)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(b|d|z|g|G)
default	[-continuant,+sg][-syllabic]	12.78	0	0	30,876.541	30,876.555	null	(P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+cg][-syllabic]	12.144	0	0	30,289.7	30,289.715	null	(b|d|z|g|G)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+syllabic][+syllabic]	14.894	0	0	29,866.2	29,866.217	null	(i|u|a|e|o)(i|u|a|e|o)
default	[-syllabic,+sonorant][+wb]	13.33	0	0	29,534.979	29,534.998	null	(m|n|N|r|l|L)(<#|#>)
default	[-syllabic][-syllabic,-back]	12.323	0	0	29,224.705	29,224.727	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(y)
