projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[]	0	123,247	85,383.025	238,735.682	238,735.682	null	(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|a|i|u|o|e|nk|nq|rq|lq|Lq|yq|wq)
-sonorant-continuant	[-wb][+cg]	15.879	0	0	233,783.308	233,783.311	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(s|S|x|h|m|n|N|r|l|L|y|w|a|i|u|o|e|nk|nq|rq|lq|Lq|yq|wq)*(b|d|z|g|G)
-sonorant-continuant	[-wb][+sg]	15.529	0	0	228,832.051	228,832.057	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(s|S|x|h|m|n|N|r|l|L|y|w|a|i|u|o|e|nk|nq|rq|lq|Lq|yq|wq)*(P|T|C|K|Q)
default	[-sonorant,-continuant][-syllabic]	14.972	0	0	216,877.539	216,877.546	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|nk|nq|rq|lq|Lq|yq|wq)
default	[-syllabic,+sonorant,+RTR][-RTR]	14.278	0	0	206,575.192	206,575.203	null	(nq|rq|lq|Lq|yq|wq)(p|t|c|k|b|d|z|g|P|T|C|K|s|S|x|h|m|n|N|r|l|L|y|w|a|i|u|nk)
default	[-syllabic,+RTR][+wb]	14.886	0	0	203,107.33	203,107.344	null	(q|G|Q|nq|rq|lq|Lq|yq|wq)(<#|#>)
default	[+syllabic][+syllabic]	17.339	0	0	199,519.921	199,519.937	null	(a|i|u|o|e)(a|i|u|o|e)
default	[-sonorant,-continuant][+wb]	13.541	0	0	195,782.86	195,782.879	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(<#|#>)
default	[+continuant,+coronal][-sonorant,+continuant]	14.281	0	0	193,365.581	193,365.602	null	(s|S|r|l|L|rq|lq|Lq)(s|S|x|h)
default	[+sonorant,+dorsal][+continuant]	15.268	0	0	191,054.259	191,054.283	null	(nk|nq)(s|S|x|h|r|l|L|y|w|a|i|u|o|e|rq|lq|Lq|yq|wq)
default	[-anterior][+wb]	15.506	0	0	189,343.148	189,343.174	null	(c|z|C|S|N|L|Lq)(<#|#>)
default	[-syllabic,+sonorant,+RTR][+sonorant]	15.743	0	0	187,540.397	187,540.425	null	(nq|rq|lq|Lq|yq|wq)(m|n|N|r|l|L|y|w|a|i|u|o|e|nk|nq|rq|lq|Lq|yq|wq)
default	[-continuant,-anterior][-syllabic,+continuant]	12.148	0	0	186,097.882	186,097.913	null	(c|z|C|N)(s|S|x|h|r|l|L|y|w|rq|lq|Lq|yq|wq)
default	[+lateral][+sonorant,+coronal]	13.583	0	0	184,856.911	184,856.944	null	(l|L|lq|Lq)(n|N|r|l|L|rq|lq|Lq)
default	[-syllabic][+sonorant,+dorsal]	1.686	0	0	183,807.458	183,807.493	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|nk|nq|rq|lq|Lq|yq|wq)(nk|nq)
default	[-syllabic][+continuant,+dorsal]	12.842	0	0	182,752.593	182,752.63	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|nk|nq|rq|lq|Lq|yq|wq)(x)
default	[-syllabic,+RTR][-RTR,-low]	15.347	0	0	181,848.161	181,848.201	null	(q|G|Q|nq|rq|lq|Lq|yq|wq)(y|w|i|u)
default	[+labial][-syllabic,+sonorant,+continuant]	13.628	0	0	180,945.835	180,945.877	null	(p|b|P|m)(r|l|L|y|w|rq|lq|Lq|yq|wq)
default	[+labial][+wb]	15.017	0	0	180,082.944	180,082.987	null	(p|b|P|m)(<#|#>)
default	[+RTR][+sg,-RTR]	11.353	0	0	179,296.028	179,296.074	null	(q|G|Q|o|e|nq|rq|lq|Lq|yq|wq)(P|T|C|K|h)
default	[-syllabic][-sonorant,+continuant,-anterior]	13.158	0	0	178,554.815	178,554.863	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|nk|nq|rq|lq|Lq|yq|wq)(S)
default	[+lateral][+wb]	14.677	0	0	177,846.907	177,846.957	null	(l|L|lq|Lq)(<#|#>)
default	[+wb][+continuant,+dorsal]	5.134	0	0	177,190.466	177,190.519	null	(<#|#>)(x)
default	[+wb][-sonorant,+continuant,-anterior]	13.199	0	0	176,581.337	176,581.391	null	(<#|#>)(S)
default	[-syllabic,+sonorant,-RTR][-syllabic,+RTR]	13.947	0	0	175,958.696	175,958.753	null	(m|n|N|r|l|L|y|w|nk)(q|G|Q|nq|rq|lq|Lq|yq|wq)
default	[-anterior][-continuant,+anterior]	13.861	0	0	175,387.354	175,387.412	null	(c|z|C|S|N|L|Lq)(t|d|T|n)
