projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[]	0	40,131	36,798.469	105,246.14	105,246.14	null	(<#|#>|y|w|i|e|a|o|u|r|m|mh|n|nh|ny|N|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)
-low	[+wb][+wb]	0.308	355	355	103,976.238	103,976.238	null	(<#|#>)(a|r|m|mh|n|nh|ny|N|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)*(<#|#>)
-high	[+wb][+wb]	2.18	0	0	100,240.773	100,240.776	null	(<#|#>)(y|w|i|u|r|m|mh|n|nh|ny|N|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)*(<#|#>)
-sonorant	[-ant][]	1.022	1,113	1,113	96,954.93	96,954.933	null	(ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty)(y|w|i|e|a|o|u|r|m|mh|n|nh|ny|N)*(<#|#>|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)
default	[+sg]	2.506	526	526	93,916.624	93,916.626	null	(mh|nh|vh|bh|dh|h)
-low	[+high][-high]	1.681	151	151	93,095.476	93,095.479	null	(y|w|i|u)(a|r|m|mh|n|nh|ny|N|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)*(e|o)
-high-low	[+wb][+back][+wb]	1.277	234	234	92,164.231	92,164.234	null	(<#|#>)(y|w|i|a|u|r|m|mh|n|nh|ny|N|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)*(o)(y|w|i|a|u|r|m|mh|n|nh|ny|N|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)*(<#|#>)
-high	[-low][+wb]	2.312	0	0	87,694.384	87,694.39	null	(e|o)(y|w|i|u|r|m|mh|n|nh|ny|N|p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)*(<#|#>)
-sonorant	[-wb][+lab]	0	788	646.813	86,261.902	86,261.908	null	(p|pf|f|v|vh|b|bh|bv|t|d|dh|ts|dz|s|z|ch|j|tsv|dzv|sh|zh|sv|zv|dy|ty|k|g|h)(y|w|i|e|a|o|u|r|m|mh|n|nh|ny|N)*(p|pf|f|v|vh|b|bh|bv)
default	[-syll,-cons]	1.225	669	669	84,789.63	84,789.637	null	(y|w)
